//name, selling price, buying price, reserved quantity, target quantity, foreign merchant price, auto-generated, needed equipment(deprecated), minimum reputation,  
normanplate,20*64,20*60,0,0,,,,8*64*64,foreigntrade
normanLegs,0,8*80,0,0, 0,false,,0,foreigntrade
normanBoots,0,5*80,0,0, 0,false,,0,foreigntrade
shield,0,20*2,0,0,3*25,false,,0,weapons
viking_sword,64*64,60*64,1,1,,,,8*64*64,weapons
viking_helmet,10*64,10*60,0,0,,,,8*64*64,weapons
viking_plate,20*64,20*60,0,0,,,,8*64*64,weapons
viking_legs,8*64,8*60,0,0,,,,8*64*64,weapons
viking_boots,5*64,5*60,0,0,,,,8*64*64,weapons

steelSword,1*64,1*60,0,0, 2*25,false,,0,weapons
steelHelmet,1*64,1*60,0,0, 6*25,false,,0,weapons
chainHelmet,1*64,1*60,0,0, 3*25,false,,0,weapons
chainChest,3*64,3*60,0,0, 7*25,false,,0,weapons
chainLegs,2*64,2*60,0,0, 6*25,false,,0,weapons
chainBoots,1*64,1*60,0,0, 3*25,false,,0,weapons

normanPickaxe,0,10*80,0,0,,,,0,foreigntrade
normanAxe,0,10*80,0,0,,,,0,foreigntrade
normanShovel,0,10*80,0,0,,,,0,foreigntrade
normanHoe,0,10*80,0,0,,,,0,foreigntrade

steelPickaxe,10*64,9*64,1,1,,,,2*64*64,tools
steelAxe,10*64,9*64,1,1,,,,2*64*64,tools
steelShovel,10*64,9*64,1,1,,,,2*64*64,tools
steelHoe,10*64,9*64,1,1,,,,2*64*64,tools
stoneaxe,20,3,0,64,22,false,,0,tools
stonehoe,15,2,0,64,20,false,,0,tools
stonepickaxe,20,3,0,64,22,false,,0,tools
stoneshovel,15,1,0,64,20,false,,0,tools

diamondPickaxe,0,3*64*3,0,0, 0,false,,0,foreigntrade
diamondAxe,0,3*64*3,0,0, 0,false,,0,foreigntrade
diamondShovel,0,3*64*1,0,0, 0,false,,0,foreigntrade
diamondHoe,0,3*64*2,0,0, 0,false,,0,foreigntrade
mayanpickaxe,0,7*64,0,0, 0,false,,0,foreigntrade
mayanaxe,0,7*64,0,0, 0,false,,0,foreigntrade
mayanshovel,0,7*64,0,0, 0,false,,0,foreigntrade
mayanhoe,0,7*64,0,0, 0,false,,0,foreigntrade

purse,32*64,0,0,0,0,true,,0,playeritem
summoningwand,2*64*64,0,0,0,0,true,,8*64*64,playeritem

//for art seller
painting,0,0,0,0,32,false,0,0,foreigntrade
dye_orange,0,0,0,0,4,false,0,0,foreigntrade
dye_magenta,0,0,0,0,32,false,0,0,foreigntrade
dye_green,0,0,0,0,20,false,0,0,foreigntrade
dye_pink,0,0,0,0,16,false,0,0,foreigntrade
dye_gray,0,0,0,0,24,false,0,0,foreigntrade
dye_lightgray,0,0,0,0,32,false,0,0,foreigntrade
dye_cyan,0,0,0,0,64,false,0,0,foreigntrade
dye_purple,0,0,0,0,48,false,0,0,foreigntrade
dye_blue,0,0,0,0,64,false,0,0,foreigntrade
dye_brown,0,0,0,0,16*64,false,0,0,foreigntrade
dye_black,0,0,0,0,8,false,0,0,foreigntrade

banner_white,64,58,4,16,0,false,,0,construction

//For viking seller
yggdrasil_amulet,0,0,0,0,32*64,false,0,0,foreigntrade
skoll_hati_amulet,0,0,0,0,64*64,false,0,0,foreigntrade










